Rk,Season,Lg,ANA,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PHX,PIT,SJS,STL,TBL,TOR,VAN,VEG,WPG,WSH
45,1973-74,NHL,,113,76,,,74,105,,63,68,,,78,,99,,,56,94,,112,,65,,64,,86,59,,,
46,1972-73,NHL,,107,88,,,65,93,,85,86,,,73,,120,,,30,102,,85,,73,,76,,64,53,,,
47,1971-72,NHL,,119,51,,,,107,,86,76,,,49,,108,,,,109,,66,,66,,67,,80,48,,,
48,1970-71,NHL,,121,63,,,,107,,72,55,,,63,,97,,,,109,,73,,62,,87,,82,56,,,
49,1969-70,NHL,,99,,,,,99,,60,95,,,38,,92,,,,92,,58,,64,,86,,71,,,,
50,1968-69,NHL,,100,,,,,77,,51,78,,,58,,103,,,,91,,61,,51,,88,,85,,,,
51,1967-68,NHL,,84,,,,,80,,69,66,,,72,,94,,,,90,,73,,67,,70,,76,,,,
52,1966-67,NHL,,44,,,,,94,,,58,,,,,77,,,,72,,,,,,,,75,,,,
53,1965-66,NHL,,48,,,,,82,,,74,,,,,90,,,,47,,,,,,,,79,,,,
54,1964-65,NHL,,48,,,,,76,,,87,,,,,83,,,,52,,,,,,,,74,,,,
55,1963-64,NHL,,48,,,,,84,,,71,,,,,85,,,,54,,,,,,,,78,,,,
56,1962-63,NHL,,45,,,,,81,,,77,,,,,79,,,,56,,,,,,,,82,,,,
57,1961-62,NHL,,38,,,,,75,,,60,,,,,98,,,,64,,,,,,,,85,,,,
58,1960-61,NHL,,43,,,,,75,,,66,,,,,92,,,,54,,,,,,,,90,,,,
59,1959-60,NHL,,64,,,,,69,,,67,,,,,92,,,,49,,,,,,,,79,,,,
60,1958-59,NHL,,73,,,,,69,,,58,,,,,91,,,,64,,,,,,,,65,,,,
61,1957-58,NHL,,69,,,,,55,,,70,,,,,96,,,,77,,,,,,,,53,,,,
62,1956-57,NHL,,80,,,,,47,,,88,,,,,82,,,,66,,,,,,,,57,,,,
63,1955-56,NHL,,59,,,,,50,,,76,,,,,100,,,,74,,,,,,,,61,,,,
64,1954-55,NHL,,67,,,,,43,,,95,,,,,93,,,,52,,,,,,,,70,,,,
65,1953-54,NHL,,74,,,,,31,,,88,,,,,81,,,,68,,,,,,,,78,,,,
66,1952-53,NHL,,69,,,,,69,,,90,,,,,75,,,,50,,,,,,,,67,,,,
67,1951-52,NHL,,66,,,,,43,,,100,,,,,78,,,,59,,,,,,,,74,,,,
68,1950-51,NHL,,62,,,,,36,,,101,,,,,65,,,,61,,,,,,,,95,,,,
69,1949-50,NHL,,60,,,,,54,,,88,,,,,77,,,,67,,,,,,,,74,,,,
70,1948-49,NHL,,66,,,,,50,,,75,,,,,65,,,,47,,,,,,,,57,,,,
71,1947-48,NHL,,59,,,,,46,,,72,,,,,51,,,,55,,,,,,,,77,,,,
72,1946-47,NHL,,63,,,,,42,,,55,,,,,78,,,,50,,,,,,,,72,,,,
73,1945-46,NHL,,56,,,,,53,,,50,,,,,61,,,,35,,,,,,,,45,,,,
74,1944-45,NHL,,36,,,,,33,,,67,,,,,80,,,,32,,,,,,,,52,,,,
75,1943-44,NHL,,43,,,,,49,,,58,,,,,83,,,,17,,,,,,,,50,,,,
76,1942-43,NHL,,57,,,,,49,,,61,,,,,50,,,,30,,,,,,,,53,,,,
77,1941-42,NHL,,56,,,,,47,,,42,,,,,39,,,,60,,,,,,,,57,,,,
78,1940-41,NHL,,67,,,,,39,,,53,,,,,38,,,,50,,,,,,,,62,,,,
79,1939-40,NHL,,67,,,,,52,,,38,,,,,25,,,,64,,,,,,,,56,,,,
80,1938-39,NHL,,74,,,,,32,,,42,,,,,39,,,,58,,,,,,,,47,,,,
81,1937-38,NHL,,67,,,,,37,,,35,,,,,49,,,,60,,,,,,,,57,,,,
82,1936-37,NHL,,53,,,,,35,,,59,,,,,54,,,,47,,,,,,,,49,,,,
83,1935-36,NHL,,50,,,,,50,,,56,,,,,33,,,,50,,,,,,,,52,,,,
84,1934-35,NHL,,58,,,,,57,,,45,,,,,44,,,,50,,,,,,,,64,,,,
85,1933-34,NHL,,41,,,,,51,,,58,,,,,50,,,,50,,,,,,,,61,,,,
86,1932-33,NHL,,58,,,,,44,,,58,,,,,41,,,,54,,,,,,,,54,,,,
87,1931-32,NHL,,42,,,,,47,,,46,,,,,57,,,,54,,,,,,,,53,,,,
88,1930-31,NHL,,62,,,,,51,,,39,,,,,60,,,,47,,,,,,,,53,,,,
89,1929-30,NHL,,77,,,,,47,,,34,,,,,51,,,,44,,,,,,,,40,,,,
90,1928-29,NHL,,57,,,,,22,,,47,,,,,59,,,,52,,,,,,,,47,,,,
91,1927-28,NHL,,51,,,,,17,,,44,,,,,59,,,,47,,,,,,,,44,,,,
92,1926-27,NHL,,45,,,,,41,,,28,,,,,58,,,,56,,,,,,,,35,,,,
93,1925-26,NHL,,38,,,,,,,,,,,,,23,,,,,,,,,,,,27,,,,
94,1924-25,NHL,,12,,,,,,,,,,,,,36,,,,,,,,,,,,38,,,,
95,1923-24,NHL,,,,,,,,,,,,,,,26,,,,,,,,,,,,20,,,,
96,1922-23,NHL,,,,,,,,,,,,,,,28,,,,,,,,,,,,27,,,,
97,1921-22,NHL,,,,,,,,,,,,,,,25,,,,,,,,,,,,27,,,,
98,1920-21,NHL,,,,,,,,,,,,,,,26,,,,,,,,,,,,30,,,,
99,1919-20,NHL,,,,,,,,,,,,,,,26,,,,,,,,,,,,24,,,,
100,1918-19,NHL,,,,,,,,,,,,,,,20,,,,,,,,,,,,10,,,,
101,1917-18,NHL,,,,,,,,,,,,,,,26,,,,,,,,,,,,26,,,,
